"Últ Atualização","Região Covid","Município","Cód IBGE","Município","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"16/06/2020 08:12","Bage - R22","Bagé","2261995","Hospital Universitario Urcamp","0","0","-","0","0"
"16/06/2020 08:14","Palmeira Das Missoes - R15 R20","Jaboticaba","2235315","Hospital Santa Rita D Jaboticaba","0","0","-","0","0"
"16/06/2020 08:14","Cruz Alta - R12","Santa Bárbara Do Sul","2263890","Hospital Santa Barbara Beneficente","0","0","-","0","0"
"16/06/2020 08:14","Santa Rosa - R14","Giruá","2260069","Hospital Sao Jose","0","0","-","0","0"
"16/06/2020 08:15","Pelotas - R21","Canguçu","2232928","Hospital De Caridade De Cangucu","0","0","-","0","0"
"16/06/2020 08:16","Uruguaiana - R03","Rosário Do Sul","2248239","Hospital Auxiliadora","8","7","87.5%","0","0"
"16/06/2020 08:17","Ijui - R13","Pejuçara","2261138","Hospital Pejucara","0","0","-","0","0"
"16/06/2020 08:20","Passo Fundo - R17 R18 R19","Serafina Corrêa","2260050","Hospital Nossa Senhora Do Rosario","0","0","-","0","0"
"16/06/2020 08:20","Taquara - R06","São Francisco De Paula","2227770","Hospital Sao Francisco De Paula","0","0","-","0","0"
"16/06/2020 08:21","Capao Da Canoa - R04 R05","Palmares Do Sul","2224607","Hospital Sao Jose","0","0","-","0","0"
"16/06/2020 08:23","Santa Maria - R01 R02","Paraíso Do Sul","2234467","Unidade Mista Hospital Paraiso","0","0","-","0","0"
"16/06/2020 08:24","Ijui - R13","Ijuí","3506959","Hospital Unimed","6","2","33.3%","0","0"
"16/06/2020 08:25","Santa Rosa - R14","Santa Rosa","2254611","Hospital Vida Saude","10","10","100%","0","0"
"16/06/2020 08:25","Caxias Do Sul - R23 R24 R25 R26","Garibaldi","2257645","Hospital Sao Pedro","10","7","70%","7","0"
"16/06/2020 08:26","Santo Angelo - R11","Santo Ângelo","7151888","Hospital Regional Unimed Missoes","7","3","42.9%","0","0"
"16/06/2020 08:27","Porto Alegre - R09 R10","Camaquã","2257548","Hospital Nossa Senhora Aparecida De Camaqua","0","0","-","0","0"
"16/06/2020 08:31","Lajeado - R29 R30","Teutônia","2252244","Hospital Ouro Branco","0","0","-","0","0"
"16/06/2020 08:31","Santa Maria - R01 R02","Santa Maria","5433509","Hospital Geral Unimed","0","0","-","0","0"
"16/06/2020 08:34","Santa Rosa - R14","Santa Rosa","3017060","Hospital Vida Saude","10","4","40%","0","4"
"16/06/2020 08:36","Taquara - R06","Três Coroas","2257467","Hospital Dr Oswaldo Diesel","0","0","-","0","0"
"16/06/2020 08:37","Santa Rosa - R14","Horizontina","7607547","Associacao Beneficente Oswaldo Cruz De Horizontina","0","0","-","0","0"
"16/06/2020 08:37","Erechim - R16","Nonoai","2228688","Hospital Comunitario Nonoai","0","0","-","0","0"
"16/06/2020 08:39","Caxias Do Sul - R23 R24 R25 R26","Veranópolis","2707977","Hospital Comunitario Sao Peregrino Lazziozi","0","0","-","0","0"
"16/06/2020 08:41","Passo Fundo - R17 R18 R19","Passo Fundo","2246929","Hospital De Clinicas De Passo Fundo","43","29","67.4%","9","4"
"16/06/2020 08:42","Cruz Alta - R12","Quinze De Novembro","2263831","Associacao Hospitalar 15 De Novembro","0","0","-","0","0"
"16/06/2020 08:42","Santa Cruz Do Sul - R28","Vale Do Sol","2236338","Hospital Vale Do Sol","0","0","-","0","0"
"16/06/2020 08:42","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223570","Hospital Do Circulo","18","9","50%","3","2"
"16/06/2020 08:42","Ijui - R13","Ijuí","2261030","Hospital Bom Pastor Ijui","0","0","-","0","0"
"16/06/2020 08:44","Santa Maria - R01 R02","Santa Maria","2244365","Hospital Da Base Aerea","0","0","-","0","0"
"16/06/2020 08:46","Santa Maria - R01 R02","Cacequi","5699525","Asso","0","0","-","0","0"
"16/06/2020 08:46","Pelotas - R21","Arroio Grande","2233428","Santa Casa De Misericordia De Arroio Grande","0","0","-","0","0"
"16/06/2020 08:47","Capao Da Canoa - R04 R05","Santo Antônio Da Patrulha","6389104","Hospital De Santo Antonio Da Patrulha","0","0","-","0","0"
"16/06/2020 08:48","Porto Alegre - R09 R10","Dom Feliciano","6953689","Asdomf","0","0","-","0","0"
"16/06/2020 08:49","Palmeira Das Missoes - R15 R20","Planalto","2228556","Hospital Medianeira Planalto","0","0","-","0","0"
"16/06/2020 08:50","Santa Maria - R01 R02","São João Do Polêsine","6364810","Hospital Dr Roberto Binatto","0","0","-","0","0"
"16/06/2020 08:52","Cruz Alta - R12","Fortaleza Dos Valos","2263866","Hospital Municipal Bom Pastor","0","0","-","0","0"
"16/06/2020 08:52","Caxias Do Sul - R23 R24 R25 R26","Farroupilha","2240335","Hospital Sao Carlos","10","8","80%","1","0"
"16/06/2020 08:52","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223546","Hospital Pompeia","30","24","80%","1","0"
"16/06/2020 08:57","Cruz Alta - R12","Selbach","2238810","Hospital Sao Jacob","0","0","-","0","0"
"16/06/2020 08:57","Capao Da Canoa - R04 R05","Osório","2257815","Hospital Sao Vicente De Paulo","10","6","60%","4","0"
"16/06/2020 08:58","Passo Fundo - R17 R18 R19","Passo Fundo","2246988","Hospital Sao Vicente De Paulo","62","52","83.9%","17","5"
"16/06/2020 09:00","Passo Fundo - R17 R18 R19","Passo Fundo","2245663","Hospital Sao Vicente De Paulo","10","3","30%","0","0"
"16/06/2020 09:02","Caxias Do Sul - R23 R24 R25 R26","Gramado","2241153","Hospital Arcanjo Sao Miguel","10","7","70%","0","1"
"16/06/2020 09:05","Porto Alegre - R09 R10","Porto Alegre","2237156","Hbmpa","20","5","25%","1","1"
"16/06/2020 09:05","Taquara - R06","Taquara","2227932","Hospital Bom Jesus","10","8","80%","0","0"
"16/06/2020 09:09","Pelotas - R21","Pelotas","2253690","Clinicanp","5","2","40%","0","0"
"16/06/2020 09:10","Lajeado - R29 R30","Estrela","2252260","Hospital Estrela","20","12","60%","6","1"
"16/06/2020 09:14","Porto Alegre - R09 R10","Charqueadas","9528792","Hospital De Charqueadas","0","0","-","0","0"
"16/06/2020 09:21","Cachoeira Do Sul - R27","Encruzilhada Do Sul","2234432","Hospital Santa Barbara","0","0","-","0","0"
"16/06/2020 09:21","Caxias Do Sul - R23 R24 R25 R26","Paraí","2241218","Hospital Beneficente Nossa Senhora Aparecida","0","0","-","0","0"
"16/06/2020 09:24","Lajeado - R29 R30","Taquari","9563873","Hospital Sao Jose","0","0","-","0","0"
"16/06/2020 09:24","Uruguaiana - R03","Itaqui","2248271","Hospital Sao Patricio De Itaqui","0","0","-","0","0"
"16/06/2020 09:25","Canoas - R08","Canoas","2232014","Hospital Nossa Senhora Das Gracas","28","26","92.9%","0","1"
"16/06/2020 09:26","Lajeado - R29 R30","Nova Bréscia","2252112","Hospital Sao Joao Batista Nova Brescia","0","0","-","0","0"
"16/06/2020 09:27","Santa Maria - R01 R02","Pinhal Grande","2244209","Casa De Saude Sao Jose","0","0","-","0","0"
"16/06/2020 09:28","Ijui - R13","Ijuí","2261057","Hospital De Caridade De Ijui","20","17","85%","0","0"
"16/06/2020 09:30","Santa Maria - R01 R02","Santiago","2244357","Hospital De Caridade De Santiago","10","10","100%","2","0"
"16/06/2020 09:31","Canoas - R08","Montenegro","2257556","Hospital Montenegro","10","8","80%","0","1"
"16/06/2020 09:36","Porto Alegre - R09 R10","Porto Alegre","2778718","Hps","20","20","100%","0","0"
"16/06/2020 09:40","Pelotas - R21","São Lourenço Do Sul","2233312","Santa Casa De Miseric S Lourenco Do Sul","0","0","-","0","0"
"16/06/2020 09:42","Caxias Do Sul - R23 R24 R25 R26","São Marcos","2241226","Hospital Beneficente Sao Joao Bosco","0","0","-","0","0"
"16/06/2020 09:47","Uruguaiana - R03","Santana Do Livramento","3913392","Centro Hospitalar Santanense Ltda","0","0","-","0","0"
"16/06/2020 09:47","Pelotas - R21","Rio Grande","2707675","Hospital Universitario Dr Miguel Riet Correa Jr","6","6","100%","0","0"
"16/06/2020 09:50","Palmeira Das Missoes - R15 R20","Ametista Do Sul","2228629","Hospital Sao Gabriel Ametista Do Sul","0","0","-","0","0"
"16/06/2020 09:55","Porto Alegre - R09 R10","Porto Alegre","3006522","Hospital Moinhos De Vento","56","48","85.7%","11","4"
"16/06/2020 09:57","Santa Maria - R01 R02","São Pedro Do Sul","2244314","Hospital Municipal De Sao Pedro Do Sul","0","0","-","0","0"
"16/06/2020 09:58","Santa Maria - R01 R02","Jaguari","2244152","Irdesi De Jaguari","0","0","-","0","0"
"16/06/2020 09:59","Porto Alegre - R09 R10","Porto Alegre","3007847","Hospital Mae De Deus","60","47","78.3%","4","9"
"16/06/2020 10:02","Pelotas - R21","Santa Vitória Do Palmar","2233398","Irmandade S Casa De Misericordia De S V Palmar","0","0","-","0","0"
"16/06/2020 10:06","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223597","Hospital Saude","10","8","80%","1","0"
"16/06/2020 10:08","Passo Fundo - R17 R18 R19","Soledade","2246961","Hospital Frei Clemente Soledade","6","2","33.3%","1","0"
"16/06/2020 10:09","Caxias Do Sul - R23 R24 R25 R26","Vacaria","2241048","Hospital Nossa Senhora Da Oliveira","10","5","50%","0","2"
"16/06/2020 10:14","Porto Alegre - R09 R10","Porto Alegre","2237601","Hospital De Clinicas","118","95","80.5%","33","7"
"16/06/2020 10:16","Caxias Do Sul - R23 R24 R25 R26","São Marcos","3228630","Hospital Dr Stich","0","0","-","0","0"
"16/06/2020 10:17","Caxias Do Sul - R23 R24 R25 R26","Guaporé","2793237","Associacao Hospitalar Manoel Francisco Guerreiro","0","0","-","0","0"
"16/06/2020 10:20","Palmeira Das Missoes - R15 R20","Constantina","3378691","Hospital Da Comunidade Ahcros Constantina","0","0","-","0","0"
"16/06/2020 10:20","Porto Alegre - R09 R10","Porto Alegre","2237822","Hospital Materno Infantil Presidente Vargas","0","0","-","0","0"
"16/06/2020 10:21","Lajeado - R29 R30","Arroio Do Meio","2252198","Hospital Sao Jose Arroio Do Meio","0","0","-","0","0"
"16/06/2020 10:23","Erechim - R16","Marcelino Ramos","2249618","Associacao Hospitalar Marcelinense","0","0","-","0","0"
"16/06/2020 10:25","Palmeira Das Missoes - R15 R20","Chapada","2235307","Hospital Sao Jose Chapada","0","0","-","0","0"
"16/06/2020 10:27","Porto Alegre - R09 R10","Porto Alegre","2237598","Hospital Divina Providencia","20","10","50%","0","0"
"16/06/2020 10:28","Santa Maria - R01 R02","Santa Maria","2244292","Hospital Sao Francisco De Assis","10","1","10%","0","0"
"16/06/2020 10:30","Santa Maria - R01 R02","Restinga Seca","2244233","Hospital De Caridade Sao Francisco","0","0","-","0","0"
"16/06/2020 10:31","Ijui - R13","São Martinho","2707608","Hospital De Caridade De Sao Martinho","0","0","-","0","0"
"16/06/2020 10:32","Porto Alegre - R09 R10","Porto Alegre","2237849","Instituto De Cardiologia","51","26","51%","0","3"
"16/06/2020 10:35","Lajeado - R29 R30","Bom Retiro Do Sul","2252023","Hospital De Caridade Santana Bom Retiro Do Sul","0","0","-","0","0"
"16/06/2020 10:36","Porto Alegre - R09 R10","Porto Alegre","7092571","Hospital Independencia","10","9","90%","0","0"
"16/06/2020 10:48","Porto Alegre - R09 R10","Viamão","5223962","Instituto De Cardiologia Hospital Viamao","25","19","76%","1","3"
"16/06/2020 10:49","Passo Fundo - R17 R18 R19","Marau","9131981","Hospital Sao Lucas","0","0","-","0","0"
"16/06/2020 10:50","Passo Fundo - R17 R18 R19","Tapera","2246783","Hospital Roque Gonzales Tapera","0","0","-","0","0"
"16/06/2020 10:52","Santa Maria - R01 R02","Nova Palma","2244128","Hospital Nossa Senhora Da Piedade","0","0","-","0","0"
"16/06/2020 10:57","Santa Rosa - R14","Porto Lucena","2250810","Hospital Sao Jose Porto Lucena Rs","0","0","-","0","0"
"16/06/2020 10:57","Passo Fundo - R17 R18 R19","Sertão","2246805","Hospital Sao Jose Sertao","0","0","-","0","0"
"16/06/2020 11:00","Santo Angelo - R11","Porto Xavier","2259982","Hospital De Porto Xavier","0","0","-","0","0"
"16/06/2020 11:00","Novo Hamburgo - R07","São Leopoldo","2232022","Hospital Centenario","11","11","100%","1","5"
"16/06/2020 11:01","Santa Maria - R01 R02","Mata","2244187","Hospital De Mata","0","0","-","0","0"
"16/06/2020 11:02","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2255928","Hospital Monte Alverne","0","0","-","0","0"
"16/06/2020 11:02","Erechim - R16","Aratiba","2249502","Acha Aratiba","0","0","-","0","0"
"16/06/2020 11:06","Taquara - R06","Parobé","2227762","Hospital Sao Francisco De Assis","0","0","-","0","0"
"16/06/2020 11:08","Canoas - R08","São Sebastião Do Caí","2227908","Hospital Sagrada Familia","0","0","-","0","0"
"16/06/2020 11:09","Erechim - R16","Erechim","2707918","Fundacao Hospitalar Santa Terezinha De Erechim","21","10","47.6%","1","3"
"16/06/2020 11:10","Santa Rosa - R14","Tuparendi","5729297","Cams","0","0","-","0","0"
"16/06/2020 11:10","Capao Da Canoa - R04 R05","Capão Da Canoa","2707969","Hospital Beneficiente Santa Luzia","10","10","100%","1","0"
"16/06/2020 11:12","Pelotas - R21","Pelotas","2252694","Hospital Escola Da Universidade Federal De Pelotas","11","9","81.8%","2","0"
"16/06/2020 11:15","Cruz Alta - R12","Tupanciretã","2244225","Hospital De Caridade Brasilina Terra","0","0","-","0","0"
"16/06/2020 11:21","Santo Angelo - R11","Cerro Largo","2259869","Hospital De Caridade Serro Azul","0","0","-","0","0"
"16/06/2020 11:21","Taquara - R06","Rolante","2257564","Fundacao Hospitalar De Rolante","0","0","-","0","0"
"16/06/2020 11:26","Passo Fundo - R17 R18 R19","Não-me-toque","2246910","Hospital Alto Jacui Nao Me Toque","0","0","-","0","0"
"16/06/2020 11:27","Lajeado - R29 R30","Sério","2252066","Hospital Sao Jose Serio","0","0","-","0","0"
"16/06/2020 11:27","Pelotas - R21","Pedro Osório","2233339","Santa Casa De Misericordia De Pedro Osorio","0","0","-","0","0"
"16/06/2020 11:32","Uruguaiana - R03","São Gabriel","2248204","Santa Casa De Sao Gabriel","15","6","40%","1","1"
"16/06/2020 11:34","Novo Hamburgo - R07","Sapiranga","2232154","Hospital Sapiranga","12","0","0%","3","5"
"16/06/2020 11:37","Capao Da Canoa - R04 R05","Tramandaí","2793008","Hospital Tramandai","16","10","62.5%","0","0"
"16/06/2020 11:38","Passo Fundo - R17 R18 R19","Lagoa Vermelha","3819590","Hospital Sao Paulo","0","0","-","0","0"
"16/06/2020 11:40","Santa Maria - R01 R02","Santa Maria","2244144","Hospital Da Brigada Militar De Santa Maria","0","0","-","0","0"
"16/06/2020 11:41","Santa Cruz Do Sul - R28","Venâncio Aires","2236370","Hospital Sao Sebastiao Martir","14","11","78.6%","4","3"
"16/06/2020 11:45","Lajeado - R29 R30","Roca Sales","2252147","Sociedade Beneficente Roque Gonzales","0","0","-","0","0"
"16/06/2020 11:48","Santa Maria - R01 R02","Santa Maria","2244276","Hospital De Caridade Astrogildo De Azevedo","47","31","66%","13","0"
"16/06/2020 11:49","Caxias Do Sul - R23 R24 R25 R26","Nova Petrópolis","2241102","Hospital Nova Petropolis","0","0","-","0","0"
"16/06/2020 11:53","Lajeado - R29 R30","Encantado","2252228","Hospital Santa Teresinha Encantado","5","1","20%","1","0"
"16/06/2020 11:56","Santo Angelo - R11","São Miguel Das Missões","2259877","Hospital Sao Miguel Arcanjo","0","0","-","0","0"
"16/06/2020 11:57","Santa Maria - R01 R02","Agudo","2234386","Hospital Agudo","0","0","-","0","0"
"16/06/2020 12:07","Cachoeira Do Sul - R27","Sobradinho","6560830","Fundacao Dr Homero Lima Menezes","0","0","-","0","0"
"16/06/2020 12:08","Erechim - R16","Erechim","2249472","Hospital De Caridade De Erechim","18","6","33.3%","2","0"
"16/06/2020 12:09","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","3356868","Hospital Unimed Caxias Do Sul","20","13","65%","6","1"
"16/06/2020 12:09","Pelotas - R21","São José Do Norte","2233355","Hospital Municipal Sao Jose Do Norte","0","0","-","0","0"
"16/06/2020 12:10","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","9728317","Hospital Unimed Unidade Materno Infantil","0","0","-","0","0"
"16/06/2020 12:10","Santa Rosa - R14","São Paulo Das Missões","2250713","Hospital De Caridade Sao Paulo Sao Paulo Das Missoes","0","0","-","0","0"
"16/06/2020 12:12","Caxias Do Sul - R23 R24 R25 R26","Nova Bassano","5230241","Aconsel","0","0","-","0","0"
"16/06/2020 12:16","Canoas - R08","Esteio","2232030","Fundacao De Saude Publica Sao Camilo De Esteio","8","8","100%","1","0"
"16/06/2020 12:17","Santa Maria - R01 R02","Santa Maria","9575936","Hospital Regional De Santa Maria","10","6","60%","2","4"
"16/06/2020 12:20","Cachoeira Do Sul - R27","Segredo","2234475","Hospital Sao Joao Evangelista","0","0","-","0","0"
"16/06/2020 12:26","Bage - R22","Dom Pedrito","2262002","Hospital Sao Luiz","10","0","0%","0","0"
"16/06/2020 12:27","Erechim - R16","Estação","2249626","Hospital Santo Antonio Estacao","0","0","-","0","0"
"16/06/2020 12:29","Cachoeira Do Sul - R27","Caçapava Do Sul","2234416","Hospital De Caridade Dr Victor Lang","0","0","-","0","0"
"16/06/2020 12:30","Caxias Do Sul - R23 R24 R25 R26","Feliz","6014194","Hospital Municipal Schlater","0","0","-","0","0"
"16/06/2020 12:30","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2255936","Hospital Ana Nery","7","6","85.7%","0","0"
"16/06/2020 12:31","Novo Hamburgo - R07","Novo Hamburgo","2232057","Hospital Regina Novo Hamburgo","17","14","82.4%","3","4"
"16/06/2020 12:32","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2254964","Hospital Santa Cruz","20","10","50%","3","0"
"16/06/2020 12:35","Santa Rosa - R14","Campina Das Missões","2250802","Hospital Campina","0","0","-","0","0"
"16/06/2020 12:40","Erechim - R16","Viadutos","2249537","Hospital N S Da Pompeia Viadutos","0","0","-","0","0"
"16/06/2020 12:40","Porto Alegre - R09 R10","Gravataí","2232049","Hospital Dom Joao Becker","10","10","100%","0","0"
"16/06/2020 12:41","Lajeado - R29 R30","Muçum","2707942","Hospital Beneficente Nossa Senhora Aparecida","0","0","-","0","0"
"16/06/2020 12:50","Caxias Do Sul - R23 R24 R25 R26","Nova Prata","2241161","Hospital Sao Joao Batista","0","0","-","0","0"
"16/06/2020 12:56","Erechim - R16","Campinas Do Sul","2249529","Hospital Municipal De Campinas Do Sul","0","0","-","0","0"
"16/06/2020 13:02","Pelotas - R21","Pinheiro Machado","2233320","Hospital Pinheiro Machado","0","0","-","0","0"
"16/06/2020 13:03","Palmeira Das Missoes - R15 R20","Ronda Alta","2235420","Associacao Hospitalar De Ronda Alta","0","0","-","0","0"
"16/06/2020 13:06","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223562","Hospital Virvi Ramos","18","13","72.2%","4","2"
"16/06/2020 13:06","Santa Rosa - R14","Boa Vista Do Buricá","2250705","Hospital De Caridade Boa Vista","0","0","-","0","0"
"16/06/2020 13:07","Novo Hamburgo - R07","Ivoti","2232189","Hospital Sao Jose Ivoti","0","0","-","0","0"
"16/06/2020 13:08","Palmeira Das Missoes - R15 R20","Rondinha","2235447","Hospital Padre Eugenio","0","0","-","0","0"
"16/06/2020 13:12","Ijui - R13","Condor","2261111","Hospital De Condor","0","0","-","0","0"
"16/06/2020 13:14","Santa Rosa - R14","Alecrim","2707993","Hospital De Caridade De Alecrim","0","0","-","0","0"
"16/06/2020 13:14","Capao Da Canoa - R04 R05","Torres","2707950","Hospital Beneficente Nossa Senhora Dos Navegantes","10","9","90%","2","0"
"16/06/2020 13:20","Novo Hamburgo - R07","Novo Hamburgo","2232146","Fundacao De Saude Publica De Novo Hamburgo Fsnh","20","20","100%","1","1"
"16/06/2020 13:27","Uruguaiana - R03","Alegrete","2248328","Santa Casa De Alegrete","18","15","83.3%","2","6"
"16/06/2020 13:27","Santo Angelo - R11","Guarani Das Missões","2259931","Hospital Santa Teresa Guarani Das Missoes","0","0","-","0","0"
"16/06/2020 13:27","Cachoeira Do Sul - R27","Cachoeira Do Sul","2266474","Hospital De Caridade E Beneficencia","20","11","55%","1","0"
"16/06/2020 13:27","Cachoeira Do Sul - R27","Arroio Do Tigre","2234424","Hospital Santa Rosa De Lima","0","0","-","0","0"
"16/06/2020 13:32","Bage - R22","Bagé","2261987","Santa Casa De Caridade De Bage","25","14","56%","0","3"
"16/06/2020 13:33","Pelotas - R21","Piratini","2233347","Hospital De Caridade Nossa Senhora Da Conceicao Piratini","0","0","-","0","0"
"16/06/2020 13:35","Passo Fundo - R17 R18 R19","Sananduva","2246767","Hospital Sao Joao Sananduva","0","0","-","0","0"
"16/06/2020 13:37","Passo Fundo - R17 R18 R19","Não-me-toque","2246902","Hospital Notre Dame Julia Billiart","0","0","-","0","0"
"16/06/2020 13:39","Erechim - R16","Erechim","9142118","Santa Monica Hospital","0","0","-","0","0"
"16/06/2020 13:39","Ijui - R13","Santo Augusto","2261065","Hospital Bom Pastor","0","0","-","0","0"
"16/06/2020 13:41","Porto Alegre - R09 R10","Porto Alegre","9570047","Hospital Bdw","2","0","0%","0","0"
"16/06/2020 13:42","Erechim - R16","Severiano De Almeida","2249499","Hospital Sao Roque","0","0","-","0","0"
"16/06/2020 13:44","Taquara - R06","Cambará Do Sul","5602742","Fundacao Hospitalar Sao Jose","5","0","0%","0","0"
"16/06/2020 13:46","Palmeira Das Missoes - R15 R20","Coronel Bicaco","2235382","Assoc Hosp Santo Antonio De Padua","0","0","-","0","0"
"16/06/2020 13:49","Canoas - R08","Montenegro","2227959","Hospital Unimed Vale Do Cai","8","6","75%","0","1"
"16/06/2020 13:54","Taquara - R06","Riozinho","2227703","Hospital Nossa Senhora Do Rosario De Riozinho","0","0","-","0","0"
"16/06/2020 13:57","Porto Alegre - R09 R10","Porto Alegre","6295320","Aesc Hospital Santa Ana","10","5","50%","0","0"
"16/06/2020 14:00","Porto Alegre - R09 R10","Cachoeirinha","2232103","Hospital Padre Jeremias","0","0","-","0","0"
"16/06/2020 14:03","Pelotas - R21","Rio Grande","2232995","Santa Casa Do Rio Grande","30","19","63.3%","0","0"
"16/06/2020 14:03","Palmeira Das Missoes - R15 R20","Palmeira Das Missões","2235323","Hospital De Caridade Palmeira Das Missoes","0","0","-","0","0"
"16/06/2020 14:04","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223538","Hospital Geral","20","16","80%","4","1"
"16/06/2020 14:04","Santa Rosa - R14","Santo Cristo","2250829","Hospital De Caridade De Santo Cristo","0","0","-","0","0"
"16/06/2020 14:05","Porto Alegre - R09 R10","Porto Alegre","3567664","Hospital Ernesto Dornelles","40","29","72.5%","4","2"
"16/06/2020 14:06","Santa Maria - R01 R02","Faxinal Do Soturno","2244101","Hospital De Caridade Sao Roque","10","0","0%","0","0"
