cnes,codigo_ibge,municipio,regiao_covid,codigo_regiao_covid,latitude,longitude,data_atualizacao,leitos_total,leitos_internacoes,leitos_covid,lotacao,leitos_disponiveis,semana_epidemiologica,hospital
5729297,4322301,Tuparendi,SANTA ROSA - R14,11,-27.7605412,-54.4804599,2020-07-11,0,0,0,NA,0,28,Cams
2244209,4314472,Pinhal Grande,SANTA MARIA - R01 R02,1,-29.345626,-53.304164099,2020-07-11,0,0,0,NA,0,28,Casa De Saude Sao Jose
2233371,4318804,São Lourenço Do Sul,PELOTAS - R21,15,-31.2991292,-52.1586867,2020-07-11,0,0,0,NA,0,28,Centro De Saude Sao Joao Da Reserva
3913392,4317103,Sant'ana Do Livramento,URUGUAIANA - R03,2,-30.898826199,-55.5297087,2020-07-11,0,0,0,NA,0,28,Centro Hospitalar Santanense Ltda
2253690,4314407,Pelotas,PELOTAS - R21,15,-31.7549048,-52.335001299,2020-07-11,6,4,0,0.6666666666666666,2,28,Clinicanp
7701942,4314407,Pelotas,PELOTAS - R21,15,-31.7484048,-52.3321617,2020-07-11,0,0,0,NA,0,28,Complexo De Saude Unimed Pelotas Rs
2232146,4313409,Novo Hamburgo,NOVO HAMBURGO - R07,5,-29.6751228,-51.1319975,2020-07-11,30,26,17,0.8666666666666667,4,28,Fundacao De Saude Publica De Novo Hamburgo Fsnh
2232030,4307708,Esteio,CANOAS - R08,6,-29.8392219,-51.1614894,2020-07-11,14,9,3,0.6428571428571429,5,28,Fundacao De Saude Publica Sao Camilo De Esteio
6560830,4320701,Sobradinho,CACHOEIRA DO SUL - R27,18,-29.420103,-53.0286941,2020-07-11,0,0,0,NA,0,28,Fundacao Dr Homero Lima Menezes
2248247,4315305,Quaraí,URUGUAIANA - R03,2,-30.3788434,-56.460835,2020-07-11,0,0,0,NA,0,28,Fundacao Hospitalar De Caridade De Quarai
2257564,4316006,Rolante,TAQUARA - R06,4,-29.6531588,-50.575823,2020-07-11,0,0,0,NA,0,28,Fundacao Hospitalar De Rolante
2232162,4320008,Sapucaia Do Sul,CANOAS - R08,6,-29.8235127,-51.1658661,2020-07-11,17,17,7,1,0,28,Fundacao Hospitalar De Sapucaia Do Sul
2707918,4307005,Erechim,ERECHIM - R16,13,-27.6360277,-52.2829188,2020-07-11,26,13,4,0.5,13,28,Fundacao Hospitalar Santa Terezinha De Erechim
5602742,4303608,Cambará Do Sul,TAQUARA - R06,4,-29.0499559,-50.1446987,2020-07-11,0,0,0,NA,0,28,Fundacao Hospitalar Sao Jose
2262029,4311502,Lavras Do Sul,BAGE - R22,16,-30.8161333,-53.901673499,2020-07-11,0,0,0,NA,0,28,Fundacao Medico Hospitalar
2237156,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0979336,-51.2511144,2020-07-11,20,3,1,0.15,17,28,Hbmpa
6424236,4318408,São Jerônimo,PORTO ALEGRE - R09 R10,7,-29.9594125,-51.7164999,2020-07-11,0,0,0,NA,0,28,Hcsj Hospital De Caridade Sao Jeronimo
2252058,4302451,Boqueirão Do Leão,LAJEADO - R29 R30,20,-29.3000896,-52.4240195,2020-07-11,0,0,0,NA,0,28,Hosp Dr Anuar Elias Aesse Boqueirao Do Leao
2261154,4304002,Campo Novo,IJUI - R13,10,-27.6840028,-53.8074,2020-07-11,0,0,0,NA,0,28,Hospicampo
2265893,4309704,Humaitá,IJUI - R13,10,-27.5668721,-53.9717735,2020-07-11,0,0,0,NA,0,28,Hospital Adesco
2234386,4300109,Agudo,SANTA MARIA - R01 R02,1,-29.6490594,-53.2411968,2020-07-11,0,0,0,NA,0,28,Hospital Agudo
2265885,4300208,Ajuricaba,IJUI - R13,10,-28.2356417,-53.7683166,2020-07-11,0,0,0,NA,0,28,Hospital Ajuricaba
2246910,4312658,Não-Me-Toque,PASSO FUNDO - R17 R18 R19,14,-28.4588006,-52.819635899,2020-07-11,0,0,0,NA,0,28,Hospital Alto Jacui Nao Me Toque
2232081,4300604,Alvorada,PORTO ALEGRE - R09 R10,7,-30.008462,-51.074417999,2020-07-11,0,0,0,NA,0,28,Hospital Alvorada
2255936,4316808,Santa Cruz Do Sul,SANTA CRUZ DO SUL - R28,19,-29.7371467,-52.4258563,2020-07-11,12,7,1,0.5833333333333334,5,28,Hospital Ana Nery
5395674,4310009,Ibirubá,CRUZ ALTA - R12,9,-28.632617,-53.0901965,2020-07-11,0,0,0,NA,0,28,Hospital Annes Dias
2241153,4309100,Gramado,CAXIAS DO SUL - R23 R24 R25 R26,17,-29.3781358,-50.8723812,2020-07-11,18,16,6,0.8888888888888888,2,28,Hospital Arcanjo Sao Miguel
2248239,4316402,Rosário Do Sul,URUGUAIANA - R03,2,-30.2518915,-54.9219455,2020-07-11,8,8,0,1,0,28,Hospital Auxiliadora
9570047,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0458247,-51.2078995,2020-07-11,2,0,0,0,2,28,Hospital Bdw
2237261,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0291881,-51.2190355,2020-07-11,10,0,0,0,10,28,Hospital Beneficencia Portuguesa
2252139,4310306,Ilópolis,LAJEADO - R29 R30,20,-28.9294895,-52.1267607,2020-07-11,0,0,0,NA,0,28,Hospital Beneficente Leonilda Brunet
2707942,4312609,Muçum,LAJEADO - R29 R30,20,-31.575874,-53.3806553,2020-07-11,0,0,0,NA,0,28,Hospital Beneficente Nossa Senhora Aparecida_2707942
2241218,4314001,Paraí,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.5935373,-51.7869865,2020-07-11,0,0,0,NA,0,28,Hospital Beneficente Nossa Senhora Aparecida_2241218
2707950,4321501,Torres,CAPAO DA CANOA - R04 R05,3,-29.3351037,-49.7280367,2020-07-11,10,5,3,0.5,5,28,Hospital Beneficente Nossa Senhora Dos Navegantes
2252163,4301404,Arvorezinha,PASSO FUNDO - R17 R18 R19,14,-28.8772704,-52.1781392,2020-07-11,0,0,0,NA,0,28,Hospital Beneficente Sao Joao Arvorezinha
2241226,4319000,São Marcos,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.9712199,-51.0661075,2020-07-11,0,0,0,NA,0,28,Hospital Beneficente Sao Joao Bosco
2707969,4304630,Capão Da Canoa,CAPAO DA CANOA - R04 R05,3,-29.7654955,-50.0246608,2020-07-11,11,10,2,0.9090909090909091,1,28,Hospital Beneficiente Santa Luzia
2244098,4311205,Júlio De Castilhos,SANTA MARIA - R01 R02,1,-29.2270478,-53.6811172,2020-07-11,0,0,0,NA,0,28,Hospital Bernardina Salles De Barros
2227932,4321204,Taquara,TAQUARA - R06,4,-29.6442058,-50.778403399,2020-07-11,10,7,0,0.7,3,28,Hospital Bom Jesus
2261065,4317806,Santo Augusto,IJUI - R13,10,-27.8537326,-53.7758907,2020-07-11,0,0,0,NA,0,28,Hospital Bom Pastor_2261065
2227665,4310108,Igrejinha,TAQUARA - R06,4,-29.57231,-50.801401,2020-07-11,0,0,0,NA,0,28,Hospital Bom Pastor_2227665
2261030,4310207,Ijuí,IJUI - R13,10,-28.3936937,-53.8964487,2020-07-11,0,0,0,NA,0,28,Hospital Bom Pastor Ijui
2252287,4311403,Lajeado,LAJEADO - R29 R30,20,-29.4493877,-51.9991341,2020-07-11,30,23,2,0.7666666666666667,7,28,Hospital Bruno Born
2250802,4303707,Campina Das Missões,SANTA ROSA - R14,11,-27.9913701,-54.8388287,2020-07-11,0,0,0,NA,0,28,Hospital Campina
2236362,4304200,Candelária,SANTA CRUZ DO SUL - R28,19,-29.6663006,-52.7923157,2020-07-11,0,0,0,NA,0,28,Hospital Candelaria
2228726,4321907,Três Passos,PALMEIRA DAS MISSOES - R15 R20,12,-27.4509561,-53.9364403,2020-07-11,10,6,2,0.6,4,28,Hospital Caridade Tres Passos
5922216,4316907,Santa Maria,SANTA MARIA - R01 R02,1,-29.6725065,-53.8080495,2020-07-11,0,0,0,NA,0,28,Hospital Casa De Saude
2232022,4318705,São Leopoldo,NOVO HAMBURGO - R07,5,-29.7763607,-51.1487013,2020-07-11,16,16,8,1,0,28,Hospital Centenario
2262274,4304705,Carazinho,PASSO FUNDO - R17 R18 R19,14,-28.2844156,-52.7955191,2020-07-11,13,7,1,0.5384615384615384,6,28,Hospital Comunitario De Carazinho
2228688,4312708,Nonoai,ERECHIM - R16,13,-27.3005221,-52.8419513,2020-07-11,0,0,0,NA,0,28,Hospital Comunitario Nonoai
2707977,4322806,Veranópolis,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.9269754,-51.548204899,2020-07-11,0,0,0,NA,0,28,Hospital Comunitario Sao Peregrino Lazziozi
2235404,4320107,Sarandi,PALMEIRA DAS MISSOES - R15 R20,12,-27.9411425,-52.9278051,2020-07-11,0,0,0,NA,0,28,Hospital Comunitario Sarandi
2265060,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.009208299,-51.155919399,2020-07-11,47,38,0,0.8085106382978723,9,28,Hospital Cristo Redentor
2246953,4311809,Marau,PASSO FUNDO - R17 R18 R19,14,-28.4480529,-52.2076667,2020-07-11,0,0,0,NA,0,28,Hospital Cristo Redentor Marau
2244365,4316907,Santa Maria,SANTA MARIA - R01 R02,1,-29.7012739,-53.725125899,2020-07-11,0,0,0,NA,0,28,Hospital Da Base Aerea
2244144,4316907,Santa Maria,SANTA MARIA - R01 R02,1,-29.6873218,-53.7920588,2020-07-11,0,0,0,NA,0,28,Hospital Da Brigada Militar De Santa Maria
2262010,4300034,Aceguá,BAGE - R22,16,-31.6722574,-54.0666989,2020-07-11,0,0,0,NA,0,28,Hospital Da Colonia Nova
3378691,4305801,Constantina,PALMEIRA DAS MISSOES - R15 R20,12,-27.7393816,-52.9392358,2020-07-11,0,0,0,NA,0,28,Hospital Da Comunidade Ahcros Constantina
6011926,4302303,Bom Jesus,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.665691,-50.4374706,2020-07-11,0,0,0,NA,0,28,Hospital De Bom Jesus
2265958,4302709,Butiá,PORTO ALEGRE - R09 R10,7,-30.1258267,-51.9621151,2020-07-11,0,0,0,NA,0,28,Hospital De Butia
130419,4303103,Cachoeirinha,PORTO ALEGRE - R09 R10,7,-29.9131051,-51.0728356,2020-07-11,8,0,0,0,8,28,Hospital De Campanha Covid 19 Cachoeirinha
133973,4302105,Bento Gonçalves,CAXIAS DO SUL - R23 R24 R25 R26,17,-29.1788591,-51.5139681,2020-07-11,0,0,0,NA,0,28,Hospital De Campanha Covid 19 Complexo De Saude
154377,4304606,Canoas,CANOAS - R08,6,-29.9057094,-51.1464413,2020-07-11,2,1,0,0.5,1,28,Hospital De Campanha Covid 19 Guajuviras
104760,4304606,Canoas,CANOAS - R08,6,-29.9526611,-51.1808028,2020-07-11,2,0,0,0,2,28,Hospital De Campanha Covid19 Rio Branco
2232073,4303905,Campo Bom,NOVO HAMBURGO - R07,5,-29.6875774,-51.0548132,2020-07-11,10,6,1,0.6,4,28,Hospital De Campo Bom Dr Lauro Reus
2235609,4304408,Canela,CAXIAS DO SUL - R23 R24 R25 R26,17,-29.3609277,-50.8083669,2020-07-11,0,0,0,NA,0,28,Hospital De Canela
2244276,4316907,Santa Maria,SANTA MARIA - R01 R02,1,-29.6923779,-53.8071813,2020-07-11,47,25,5,0.5319148936170213,22,28,Hospital De Caridade Astrogildo De Azevedo
2250705,4302204,Boa Vista Do Buricá,SANTA ROSA - R14,11,-27.6706444,-54.11028,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Boa Vista
2244225,4322202,Tupanciretã,CRUZ ALTA - R12,9,-29.0772047,-53.838563699,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Brasilina Terra
2707993,4300307,Alecrim,SANTA ROSA - R14,11,-27.658336,-54.7653768,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade De Alecrim
2232928,4304507,Canguçu,PELOTAS - R21,15,-31.3923517,-52.6791364,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade De Cangucu
2708000,4306007,Crissiumal,IJUI - R13,10,-27.4955955,-54.0988683,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade De Crissiumal
2249472,4307005,Erechim,ERECHIM - R16,13,-27.6344404,-52.2685962,2020-07-11,18,8,1,0.4444444444444444,10,28,Hospital De Caridade De Erechim
2261057,4310207,Ijuí,IJUI - R13,10,-28.3937438,-53.9107018,2020-07-11,20,10,0,0.5,10,28,Hospital De Caridade De Ijui
2244357,4317400,Santiago,SANTA MARIA - R01 R02,1,-29.197675,-54.8661573,2020-07-11,10,9,0,0.9,1,28,Hospital De Caridade De Santiago
2250829,4317905,Santo Cristo,SANTA ROSA - R14,11,-27.8231105,-54.6659102,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade De Santo Cristo
2707608,4319109,São Martinho,IJUI - R13,10,-27.7083359,-53.9646413,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade De Sao Martinho
2234416,4302808,Caçapava Do Sul,CACHOEIRA DO SUL - R27,18,-30.5164973,-53.4883215,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Dr Victor Lang
2266474,4303004,Cachoeira Do Sul,CACHOEIRA DO SUL - R27,18,-30.0456104,-52.8947644,2020-07-11,20,18,6,0.9,2,28,Hospital De Caridade E Beneficencia
2233347,4314605,Piratini,PELOTAS - R21,15,-31.4491651,-53.1072966,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Nossa Senhora Da Conceicao Piratini
2235323,4313706,Palmeira Das Missões,PALMEIRA DAS MISSOES - R15 R20,12,-27.9002456,-53.317245799,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Palmeira Das Missoes
2227673,4322004,Triunfo,CANOAS - R08,6,-29.9445083,-51.7165571,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Santa Rita
2252023,4302402,Bom Retiro Do Sul,LAJEADO - R29 R30,20,-29.6021587,-51.9432629,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Santana Bom Retiro Do Sul
2244233,4315503,Restinga Seca,SANTA MARIA - R01 R02,1,-29.8155286,-53.371821,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Sao Francisco
2250713,4319307,São Paulo Das Missões,SANTA ROSA - R14,11,-28.0215253,-54.9347653,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Sao Paulo Sao Paulo Das Missoes
2244101,4308003,Faxinal Do Soturno,SANTA MARIA - R01 R02,1,-29.5769515,-53.4389294,2020-07-11,10,5,0,0.5,5,28,Hospital De Caridade Sao Roque_2244101
2241013,4306452,Dois Lajeados,LAJEADO - R29 R30,20,-28.9822648,-51.8390864,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Sao Roque_2241013
2263858,4306106,Cruz Alta,CRUZ ALTA - R12,9,-28.6423764,-53.6065105,2020-07-11,20,12,3,0.6,8,28,Hospital De Caridade Sao Vicente De Paulo
2259869,4305207,Cerro Largo,SANTO ANGELO - R11,8,-28.153884,-54.7372666,2020-07-11,0,0,0,NA,0,28,Hospital De Caridade Serro Azul
9528792,4305355,Charqueadas,PORTO ALEGRE - R09 R10,7,-29.953408,-51.6003758,2020-07-11,0,0,0,NA,0,28,Hospital De Charqueadas
2261103,4305405,Chiapetta,IJUI - R13,10,-27.9212164,-53.9412514,2020-07-11,0,0,0,NA,0,28,Hospital De Chiapetta
2237601,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0386891,-51.206425,2020-07-11,143,123,71,0.8601398601398601,20,28,Hospital De Clinicas
2246929,4314100,Passo Fundo,PASSO FUNDO - R17 R18 R19,14,-28.2553251,-52.4030273,2020-07-11,43,27,8,0.627906976744186,16,28,Hospital De Clinicas De Passo Fundo
2261111,4305702,Condor,IJUI - R13,10,-28.2094636,-53.4892763,2020-07-11,0,0,0,NA,0,28,Hospital De Condor
2244179,4310751,Ivorá,SANTA MARIA - R01 R02,1,-29.5199959,-53.5807289,2020-07-11,0,0,0,NA,0,28,Hospital De Ivora
2244187,4312104,Mata,SANTA MARIA - R01 R02,1,-29.5655754,-54.462218099,2020-07-11,0,0,0,NA,0,28,Hospital De Mata
2232170,4314803,Portão,NOVO HAMBURGO - R07,5,-29.7127463,-51.2422395,2020-07-11,0,0,0,NA,0,28,Hospital De Portao
2259982,4315107,Porto Xavier,SANTO ANGELO - R11,8,-27.903568,-55.138101,2020-07-11,0,0,0,NA,0,28,Hospital De Porto Xavier
3141330,4314100,Passo Fundo,PASSO FUNDO - R17 R18 R19,14,-28.2581018,-52.4092565,2020-07-11,9,8,1,0.8888888888888888,1,28,Hospital De Prontoclinicas Ltda
6389104,4317608,Santo Antônio Da Patrulha,CAPAO DA CANOA - R04 R05,3,-29.815428,-50.515938,2020-07-11,0,0,0,NA,0,28,Hospital De Santo Antonio Da Patrulha
2244136,4319802,São Vicente Do Sul,SANTA MARIA - R01 R02,1,-29.695145,-54.6715724,2020-07-11,0,0,0,NA,0,28,Hospital De Sao Vicente Do Sul
2237598,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0848235,-51.1880993,2020-07-11,21,16,5,0.7619047619047619,5,28,Hospital Divina Providencia
2228602,4308508,Frederico Westphalen,PALMEIRA DAS MISSOES - R15 R20,12,-27.3565402,-53.401708,2020-07-11,10,7,3,0.7,3,28,Hospital Divina Providencia Fredwest
2223570,4305108,Caxias Do Sul,CAXIAS DO SUL - R23 R24 R25 R26,17,-29.1569276,-51.1719903,2020-07-11,22,10,3,0.45454545454545453,12,28,Hospital Do Circulo
2232049,4309209,Gravataí,PORTO ALEGRE - R09 R10,7,-29.9407912,-50.9946633,2020-07-11,10,9,0,0.9,1,28,Hospital Dom Joao Becker
2235412,4316105,Ronda Alta,PALMEIRA DAS MISSOES - R15 R20,12,-27.7842602,-52.8031382,2020-07-11,0,0,0,NA,0,28,Hospital Dos Trabalhadores Atra
2252171,4315206,Putinga,LAJEADO - R29 R30,20,-29.002325,-52.1581231,2020-07-11,0,0,0,NA,0,28,Hospital Doutor Oscar Benevolo
2234408,4320701,Sobradinho,CACHOEIRA DO SUL - R27,18,-29.420103,-53.0286941,2020-07-11,0,0,0,NA,0,28,Hospital Dr Homero Menezes
5050170,4322103,Tucunduva,SANTA ROSA - R14,11,-27.6597326,-54.4436143,2020-07-11,0,0,0,NA,0,28,Hospital Dr Osvaldo Teixeira
2257467,4321709,Três Coroas,TAQUARA - R06,4,-29.5179512,-50.7784862,2020-07-11,0,0,0,NA,0,28,Hospital Dr Oswaldo Diesel
6364810,4318432,São João Do Polêsine,SANTA MARIA - R01 R02,1,-29.6206835,-53.4467492,2020-07-11,0,0,0,NA,0,28,Hospital Dr Roberto Binatto
3228630,4319000,São Marcos,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.969404299,-51.0680122,2020-07-11,0,0,0,NA,0,28,Hospital Dr Stich
3567664,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.047552099,-51.2119022,2020-07-11,40,33,11,0.825,7,28,Hospital Ernesto Dornelles
2252694,4314407,Pelotas,PELOTAS - R21,15,-31.7600765,-52.3451453,2020-07-11,26,18,10,0.6923076923076923,8,28,Hospital Escola Da Universidade Federal De Pelotas
2252260,4307807,Estrela,LAJEADO - R29 R30,20,-29.5158606,-51.960063,2020-07-11,20,15,5,0.75,5,28,Hospital Estrela
2241145,4308201,Flores Da Cunha,CAXIAS DO SUL - R23 R24 R25 R26,17,-29.0284983,-51.1846182,2020-07-11,0,0,0,NA,0,28,Hospital Fatima
2265052,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0285846,-51.2018067,2020-07-11,6,2,0,0.3333333333333333,4,28,Hospital Femina
2246961,4320800,Soledade,PASSO FUNDO - R17 R18 R19,14,-28.8217764,-52.5122821,2020-07-11,6,3,3,0.5,3,28,Hospital Frei Clemente Soledade
2223538,4305108,Caxias Do Sul,CAXIAS DO SUL - R23 R24 R25 R26,17,-29.1613041,-51.1561728,2020-07-11,28,13,3,0.4642857142857143,15,28,Hospital Geral
5433509,4316907,Santa Maria,SANTA MARIA - R01 R02,1,-29.687292,-53.81551,2020-07-11,0,0,0,NA,0,28,Hospital Geral Unimed
7092571,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0614437,-51.1490565,2020-07-11,10,10,0,1,0,28,Hospital Independencia
2248298,4318002,São Borja,SANTO ANGELO - R11,8,-28.658301,-55.998031,2020-07-11,12,8,0,0.6666666666666666,4,28,Hospital Infantil
3007847,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0590604,-51.2290709,2020-07-11,60,50,12,0.8333333333333334,10,28,Hospital Mae De Deus
2252007,4312054,Marques De Souza,LAJEADO - R29 R30,20,-29.3268852,-52.0936061,2020-07-11,0,0,0,NA,0,28,Hospital Marques De Souza
2237822,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0295532,-51.214913499,2020-07-11,0,0,0,NA,0,28,Hospital Materno Infantil Presidente Vargas
2228556,4314704,Planalto,PALMEIRA DAS MISSOES - R15 R20,12,-27.333653,-53.0632107,2020-07-11,0,0,0,NA,0,28,Hospital Medianeira Planalto
2252341,4314407,Pelotas,PELOTAS - R21,15,-31.7567418,-52.3375577,2020-07-11,6,3,0,0.5,3,28,Hospital Miguel Piltcher
3006522,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0265473,-51.2091045,2020-07-11,62,59,19,0.9516129032258065,3,28,Hospital Moinhos De Vento
2255928,4316808,Santa Cruz Do Sul,SANTA CRUZ DO SUL - R28,19,-29.7071009,-52.4442685,2020-07-11,0,0,0,NA,0,28,Hospital Monte Alverne
2257556,4312401,Montenegro,CANOAS - R08,6,-29.6868731,-51.463878,2020-07-11,10,10,2,1,0,28,Hospital Montenegro
2263866,4308458,Fortaleza Dos Valos,CRUZ ALTA - R12,9,-28.7945486,-53.2200177,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Bom Pastor
2249529,4303806,Campinas Do Sul,ERECHIM - R16,13,-27.7178374,-52.6203302,2020-07-11,0,0,0,NA,0,28,Hospital Municipal De Campinas Do Sul
2244314,4319406,São Pedro Do Sul,SANTA MARIA - R01 R02,1,-29.6133488,-54.1852375,2020-07-11,0,0,0,NA,0,28,Hospital Municipal De Sao Pedro Do Sul
2263882,4316451,Salto Do Jacuí,CRUZ ALTA - R12,9,-29.0863118,-53.2252935,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Dr Aderbal Schneider
2707632,4307609,Estância Velha,NOVO HAMBURGO - R07,5,-29.648558,-51.174974,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Getulio Vargas
2246996,4314100,Passo Fundo,PASSO FUNDO - R17 R18 R19,14,-28.2581205,-52.3942102,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Passo Fundo
2244217,4308409,Formigueiro,SANTA MARIA - R01 R02,1,-30.000905,-53.4948822,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Pedro Calil
2263874,4316436,Saldanha Marinho,CRUZ ALTA - R12,9,-28.3994842,-53.0951289,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Saldanha Marinho
2233355,4318507,São José Do Norte,PELOTAS - R21,15,-32.0097314,-52.0410286,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Sao Jose Do Norte
6014194,4308102,Feliz,CAXIAS DO SUL - R23 R24 R25 R26,17,-29.4548208,-51.3062852,2020-07-11,0,0,0,NA,0,28,Hospital Municipal Schlater
2228653,4310504,Iraí,PALMEIRA DAS MISSOES - R15 R20,12,-27.1940617,-53.2570564,2020-07-11,0,0,0,NA,0,28,Hospital N S Auxiliadora Irai
2249537,4322905,Viadutos,ERECHIM - R16,13,-27.5691124,-52.0204294,2020-07-11,0,0,0,NA,0,28,Hospital N S Da Pompeia Viadutos
2228564,4300505,Alpestre,PALMEIRA DAS MISSOES - R15 R20,12,-27.2522681,-53.0358861,2020-07-11,0,0,0,NA,0,28,Hospital Nossa Senhora
2257548,4303509,Camaquã,PORTO ALEGRE - R09 R10,7,-30.8484168,-51.8148359,2020-07-11,0,0,0,NA,0,28,Hospital Nossa Senhora Aparecida De Camaqua
2237571,4314902,Porto Alegre,PORTO ALEGRE - R09 R10,7,-30.0167773,-51.1589852,2020-07-11,75,72,43,0.96,3,28,Hospital Nossa Senhora Da Conceicao Sa
2233436,4307104,Herval,PELOTAS - R21,15,-32.0299056,-53.3921235,2020-07-11,0,0,0,NA,0,28,Hospital Nossa Senhora Da Gloria
2241048,4322509,Vacaria,CAXIAS DO SUL - R23 R24 R25 R26,17,-28.5029159,-50.935664,2020-07-11,14,8,2,0.5714285714285714,6,28,Hospital Nossa Senhora Da Oliveira
2244128,4313102,Nova Palma,SANTA MARIA - R01 R02,1,-29.470143699,-53.4739485,2020-07-11,0,0,0,NA,0,28,Hospital Nossa Senhora Da Piedade
2232014,4304606,Canoas,CANOAS - R08,6,-29.9272775,-51.1613171,2020-07-11,28,26,1,0.9285714285714286,2,28,Hospital Nossa Senhora Das Gracas
2260050,4320404,Serafina Corrêa,PASSO FUNDO - R17 R18 R19,14,-28.7114893,-51.9368579,2020-07-11,0,0,0,NA,0,28,Hospital Nossa Senhora Do Rosario
2227703,4315750,Riozinho,TAQUARA - R06,4,-29.6406613,-50.4584613,2020-07-11,0,0,0,NA,0,28,Hospital Nossa Senhora Do Rosario De Riozinho
2246902,4312658,Não-Me-Toque,PASSO FUNDO - R17 R18 R19,14,-28.4615118,-52.824192,2020-07-11,0,0,0,NA,0,28,Hospital Notre Dame Julia Billiart
